site,dir_dec,dir_inc,dir_alpha95,dir_n_specimens_lines,dir_n_specimens_planes,dir_tilt_correction,lat,lon,vgp_lat,vgp_lon,dir_r,dir_k
4,27,-77,2.9,4,,100,46.47,-90.17,23.63949373,257.8395542,3.997,1011
6,72,-56,6,6,,100,46.5,-90.22,15.13431704,217.4557342,5.96,124
7,84,-41,8,6,,100,46.47,-90.26,12.88404742,200.4067132,5.93,72
8,90,-66,5,11,,100,46.46,-90.25,32.77697749,217.4756566,10.883,85
9,84,-54,12,5,,100,46.46,-90.25,20.58746231,208.6868224,4.904,42
10,89,-53,5.7,7,,100,46.46,-90.3,23.00212058,204.8640103,6.946,112
11,302,34,4.8,7,,100,,,,,,
12,310,40,5.4,8,,100,,,,,,
13,99,-74,3.9,6,,100,46.49,-90.28,43.05638709,227.461994,5.983,289
14,141,-76,2.1,7,,100,46.49,-90.28,62.59839198,232.1151187,6.993,801
15,102,-63,2.4,5,,100,46.48,-89.65,37.59481023,208.5723974,4.996,993
16,116,-70,2.9,6,,100,46.48,-89.65,49.8102308,215.2963631,5.991,551
17,98,-71,5.35,3,3,100,46.48,-89.65,40.66039193,222.584643,,246
18,116,-64,2.5,7,,100,46.48,-89.65,46.8746106,203.7020235,6.989,569
19,119,-67,6.7,6,,100,46.48,-89.65,50.25096907,208.070102,5.95,100
20,91,-54,5.1,8,,100,46.4,-89.43,24.86354807,205.3679646,7.942,121
21,106,-79,3.3,6,,100,46.41,-89.13,48.06780525,239.4558516,5.988,414
22,133,-77,2.7,6,,100,46.41,-89.13,58.72695022,234.6707444,5.992,610
23,91,-71,4.9,5,,100,46.41,-89.02,37.11021992,225.6552161,4.983,241
24,133,-53,5.1,6,,100,46.38,-89.29,52.40017341,177.8939836,5.971,171
25,102,-74,4,6,,100,46.47,-90.17,44.44039873,226.8647749,5.982,275
28,82,-69,7.15,0,5,100,46.47,-90.17,31.11180691,225.0530822,,
29,96,-69,6.15,0,7,100,46.47,-90.17,38.23740595,219.3814805,,
30,108,-67,9.7,4,,100,46.49,-90.03,43.67572099,211.6473016,3.967,90
31,101,-68,4.3,6,,100,46.5,-90.12,40.29701054,215.8901922,5.979,241
33,83,-67,5.05,3,2,100,46.47,-90.17,29.89295922,222.0188854,,642
34,65,-66,4.3,5,,100,46.49,-90.03,20.37377175,229.9592131,4.987,311
35,102,-60,3.7,9,,100,46.47,-90.15,35.65328575,204.3478168,8.959,194
36,109,-58,5.05,1,3,100,46.47,-90.15,38.90641469,198.2788595,,
37,128,-62,3.9,5,,100,46.47,-90.15,53.66563044,194.1797552,4.99,387
38,129,-63,4.1,8,,100,46.47,-90.15,54.80199071,195.6283205,7.962,184
39,76,-67,10.05,0,5,100,46.47,-90.15,26.41497645,225.3295341,,
40,83,-66,6.1,5,,100,46.47,-90.15,29.05451136,220.8174664,4.975,160
41,72,-75,2,6,,100,46.5,-90.18,32.60738741,237.592403,5.995,1082
42,269,32,3,6,,100,,,,,5.99,494
43,271,34,4.3,5,,100,,,,,4.988,321
44,275,31,20,2,2,100,,,,,,
